,consuming_wolves,unique_id,initial_energy,resulting_energy,reproduced,step_no,age
0,2,3,40107.973714582964,40031.85572894185,true,1,0
0,0,6,40127.973714582964,40051.817772406735,true,1,0
0,0,4,40127.081557215024,40050.927308198916,true,1,0
0,0,10,40147.973714582964,40071.77981587162,true,1,0
0,0,9,40147.973714582964,40071.77981587162,true,1,0
0,0,2,40128.8658719509,40052.70823661455,true,1,0
0,0,8,40149.75802931884,40073.56074428724,true,1,0
0,0,5,40149.75802931884,40073.56074428724,true,1,0
0,0,1,40153.32665879059,40077.1226011185,true,1,0
0,0,7,40147.973714582964,40071.77981587162,true,1,0
0,0,9,40071.77981587162,39978.146883991896,true,2,1
0,0,26,45001,44915.59589815702,true,2,0
0,0,10,40071.77981587162,39978.146883991896,true,2,1
0,0,24,45001,44915.59589815702,true,2,0
0,0,8,40073.56074428724,39979.923651036355,true,2,1
0,0,2,40032.70823661455,39939.16660056785,true,2,1
0,0,21,45001,44915.59589815702,true,2,0
0,0,29,45001,44915.59589815702,true,2,0
0,0,5,40073.56074428724,39979.923651036355,true,2,1
0,0,6,40031.817772406735,39938.27821704562,true,2,1
0,0,23,45001,44915.59589815702,true,2,0
0,0,28,45001,44915.59589815702,true,2,0
0,0,30,45001,44915.59589815702,true,2,0
0,1,22,45001,44915.59589815702,true,2,0
0,0,4,40030.927308198916,39937.38983352338,true,2,1
0,0,25,45001,44915.59589815702,true,2,0
0,0,7,40071.77981587162,39978.146883991896,true,2,1
0,0,1,40077.1226011185,39983.47718512528,true,2,1
0,2,3,39991.85572894185,39898.40955009934,true,2,1
0,0,27,44981,44895.63385469214,true,2,0
0,0,36,45001,44915.59589815702,true,3,0
0,0,35,45001,44915.59589815702,true,3,0
0,0,34,45001,44915.59589815702,true,3,0
0,0,4,39917.38983352338,39802.565271838735,true,3,2
0,0,2,39919.16660056785,39804.33692791533,true,3,2
0,0,10,39978.146883991896,39863.14755131851,true,3,2
0,0,1,39983.47718512528,39868.462519548266,true,3,2
0,0,7,39978.146883991896,39863.14755131851,true,3,2
0,1,22,44915.59589815702,44810.644759216004,true,3,1
0,0,30,44915.59589815702,44810.644759216004,true,3,1
0,0,8,39979.923651036355,39864.91920739509,true,3,2
0,0,29,44915.59589815702,44810.644759216004,true,3,1
0,0,25,44915.59589815702,44810.644759216004,true,3,1
0,0,26,44915.59589815702,44810.644759216004,true,3,1
0,1,6,39918.27821704562,39803.451099877035,true,3,2
0,0,9,39978.146883991896,39863.14755131851,true,3,2
0,0,5,39979.923651036355,39864.91920739509,true,3,2
0,0,27,44875.63385469214,44770.77609226973,true,3,1
0,0,39,45001,44915.59589815702,true,3,0
0,0,37,45001,44915.59589815702,true,3,0
0,1,33,44981,44895.63385469214,true,3,0
0,0,23,44915.59589815702,44810.644759216004,true,3,1
0,0,28,44915.59589815702,44810.644759216004,true,3,1
0,0,24,44915.59589815702,44810.644759216004,true,3,1
0,0,31,45001,44915.59589815702,true,3,0
0,0,40,45001,44915.59589815702,true,3,0
0,0,21,44915.59589815702,44810.644759216004,true,3,1
0,2,3,39858.40955009934,39743.75464843556,true,3,2
0,1,32,44981,44895.63385469214,true,3,0
0,0,38,45001,44915.59589815702,true,3,0
