,adjacent_sheep,unique_id,initial_energy,resulting_energy,reproduced,step_no,age
0,0,19,1014,1014,false,0,0
0,1,15,1006,1026,false,0,0
0,0,14,995,995,false,0,0
0,0,13,993,993,false,0,0
0,0,11,1001,1001,false,0,0
0,0,17,1010,1010,false,0,0
0,1,12,1030,1050,false,0,0
0,0,16,999,999,false,0,0
0,1,20,1019,1039,false,0,0
0,1,18,1021,1041,false,0,0
0,0,17,1001,1001,false,1,1
0,1,13,984,1004,false,1,1
0,1,18,1032,1052,false,1,1
0,0,16,990,990,false,1,1
0,1,20,1030,1050,false,1,1
0,1,15,1017,1037,false,1,1
0,0,11,992,992,false,1,1
0,0,14,986,986,false,1,1
0,0,19,1005,1005,false,1,1
0,2,12,1041,1061,false,1,1
0,0,11,983,983,false,2,2
0,0,17,992,992,false,2,2
0,0,14,977,977,false,2,2
0,1,13,995,1015,false,2,2
0,1,15,1028,1048,false,2,2
0,2,12,1052,1072,false,2,2
0,0,19,996,996,false,2,2
0,1,20,1041,1061,false,2,2
0,1,18,1043,1063,false,2,2
0,0,16,981,981,false,2,2
0,0,19,987,987,false,3,3
0,2,12,1063,1083,false,3,3
0,0,17,983,983,false,3,3
0,2,18,1054,1074,false,3,3
0,3,15,1039,1059,false,3,3
0,1,14,968,988,false,3,3
0,1,13,1006,1026,false,3,3
0,1,20,1052,1072,false,3,3
0,0,11,974,974,false,3,3
0,0,16,972,972,false,3,3
0,2,18,1065,1085,false,4,4
0,1,14,979,999,false,4,4
0,0,17,974,974,false,4,4
0,3,15,1050,1070,false,4,4
0,0,11,965,965,false,4,4
0,2,12,1074,1094,false,4,4
0,1,13,1017,1037,false,4,4
0,0,19,978,978,false,4,4
0,0,16,963,963,false,4,4
0,1,20,1063,1083,false,4,4
0,3,14,990,1010,false,5,5
0,1,19,969,989,false,5,5
0,3,15,1061,1081,false,5,5
0,1,16,954,974,false,5,5
0,3,18,1076,1096,false,5,5
0,1,11,956,976,false,5,5
0,1,13,1028,1048,false,5,5
0,1,17,965,985,false,5,5
0,1,20,1074,1094,false,5,5
0,4,12,1085,1105,false,5,5
0,1,16,965,985,false,6,6
0,1,19,980,1000,false,6,6
0,2,15,1072,1092,false,6,6
0,1,11,967,987,false,6,6
0,1,17,976,996,false,6,6
0,1,20,1085,1105,false,6,6
0,2,18,1087,1107,false,6,6
0,1,13,1039,1059,false,6,6
0,3,14,1001,1021,false,6,6
0,4,12,1096,1116,false,6,6
0,2,18,1098,1118,false,7,7
0,5,12,1107,1127,false,7,7
0,1,16,976,996,false,7,7
0,1,11,978,998,false,7,7
0,1,19,991,1011,false,7,7
0,1,17,987,1007,false,7,7
0,3,14,1012,1032,false,7,7
0,1,13,1050,1070,false,7,7
0,4,15,1083,1103,false,7,7
0,1,20,1096,1116,false,7,7
